Name, finalTime, numberOfAttempts
Sphere18, 15410.0405, 1
Sphere3, 949.1759, 1
Sphere15, 6512.5482, 1
Sphere8, 898.9294, 1
Sphere7, 948.7546, 1
Sphere4, 1461.5078, 1
Sphere2, 1611.6041, 1
Sphere9, 2099.6055, 1
Sphere12, 1886.9939, 1
Sphere10, 1086.788, 1
Sphere11, 1799.6317, 1
Sphere1, 1987.0123, 1
Sphere20, 886.8007, 1
Sphere5, 900.1394, 1
Sphere6, 986.7351, 1
Sphere16, 2386.3179, 1
Sphere17, 924.3115, 1
Sphere13, 1036.0979, 1
Sphere19, 12687.243, 3
Sphere14, 837.0204, 1
Sphere12, 786.78, 1
Sphere2, 712.0973, 1
Sphere18, 6211.8093, 2
Sphere11, 2062.8446, 2
Sphere16, 2912.1854, 1
Sphere15, 936.4949, 1
Sphere7, 824.3467, 1
Sphere10, 2762.4988, 1
Sphere8, 1262.3399, 1
Sphere6, 1874.9173, 1
Sphere14, 712.1079, 1
Sphere20, 3774.2266, 1
Sphere4, 799.4443, 1
Sphere3, 3011.8146, 2
Sphere13, 2037.3718, 1
Sphere9, 1286.4857, 1
Sphere5, 2837.7914, 1
Sphere17, 761.7577, 1
Sphere19, 1374.2655, 1
Sphere1, 1662.0721, 1
Sphere2, 724.6892, 1
Sphere10, 736.0644, 1
Sphere14, 6862.4573, 2
Sphere7, 887.5667, 1
Sphere15, 711.5991, 1
Sphere4, 1287.3207, 1
Sphere18, 3548.4583, 1
Sphere1, 7462.0622, 2
Sphere12, 711.5194, 1
Sphere16, 1700.685, 1
Total, 120562.2147, 57
