Name, finalTime, numberOfAttempts
Sphere12, 16865.1988, 2
Sphere10, 5395.4069, 2
Sphere16, 1786.5376, 1
Sphere4, 1836.8061, 1
Sphere7, 1698.5925, 1
Sphere17, 13099.8482, 9
Sphere13, 7399.2808, 9
Sphere1, 2262.7635, 2
Sphere19, 2449.0018, 2
Sphere18, 14536.9819, 13
Sphere14, 3612.1361, 3
Sphere3, 16699.5991, 14
Sphere5, 4899.8377, 2
Sphere20, 1396.9753, 1
Sphere6, 2811.1259, 1
Sphere11, 1674.3389, 1
Sphere9, 1224.6936, 1
Sphere8, 1374.0702, 1
Sphere2, 1212.4086, 1
Sphere15, 1275.1939, 1
Sphere3, 7262.0621, 8
Sphere19, 1599.4064, 1
Sphere16, 4336.2397, 4
Sphere7, 1236.7106, 1
Sphere9, 1649.0328, 1
Sphere18, 4186.6113, 4
Sphere13, 8962.0369, 5
Sphere1, 1512.287, 1
Sphere6, 1674.1575, 1
Sphere5, 6624.7249, 7
Sphere20, 1562.4978, 1
Sphere8, 3924.9554, 5
Sphere17, 7899.7708, 5
Sphere15, 5725.4683, 8
Sphere2, 4086.8574, 6
Sphere12, 13336.534, 13
Sphere4, 1923.9093, 2
Sphere14, 1399.699, 3
Sphere11, 1262.154, 2
Sphere10, 6536.5136, 13
Sphere6, 3249.7908, 4
Sphere4, 1550.1203, 1
Sphere8, 6962.4866, 12
Sphere14, 1175.09, 1
Sphere17, 1136.8093, 1
Sphere1, 1424.693, 2
Sphere9, 1162.6729, 1
Sphere11, 1061.1634, 1
Sphere12, 1624.0943, 1
Sphere16, 1699.2601, 3
Total, 211291.978, 186
