Name, finalTime, numberOfAttempts
Sphere12, 511.8874, 1
Sphere11, 1686.7302, 2
Sphere4, 699.3708, 1
Sphere15, 961.8236, 1
Sphere8, 849.9403, 1
Sphere1, 512.6288, 1
Sphere3, 674.9643, 1
Sphere14, 1161.8986, 2
Sphere16, 912.5762, 2
Sphere9, 986.5218, 1
Sphere17, 1198.7743, 2
Sphere7, 1524.4073, 1
Sphere19, 687.1949, 1
Sphere6, 837.5382, 1
Sphere13, 786.9471, 1
Sphere20, 774.1662, 1
Sphere2, 1261.5979, 2
Sphere10, 1025.4529, 1
Sphere5, 949.9408, 1
Sphere18, 999.8105, 1
Sphere10, 874.0869, 1
Sphere17, 824.1306, 1
Sphere9, 748.7468, 1
Sphere4, 612.4118, 1
Sphere7, 661.3736, 1
Sphere18, 649.173, 1
Sphere3, 724.719, 1
Sphere11, 1099.5845, 2
Sphere20, 986.7551, 2
Sphere15, 624.7297, 1
Sphere12, 798.7086, 1
Sphere5, 1174.5652, 2
Sphere13, 912.5575, 1
Sphere14, 724.1988, 1
Sphere6, 550.0981, 1
Sphere1, 561.6145, 1
Sphere19, 611.5137, 1
Sphere8, 674.4049, 1
Sphere16, 549.7271, 1
Sphere2, 536.706, 1
Sphere1, 911.7092, 2
Sphere12, 613.0448, 1
Sphere5, 824.1064, 1
Sphere14, 499.1938, 1
Sphere9, 1136.703, 2
Sphere10, 862.1174, 2
Sphere8, 611.6867, 1
Sphere17, 686.3027, 1
Sphere7, 1124.6319, 2
Sphere3, 587.6119, 1
Total, 41788.7253, 62
