Name, finalTime, numberOfAttempts
Sphere12, 1461.2044, 1
Sphere10, 1562.4279, 1
Sphere16, 1412.1519, 1
Sphere4, 1612.3545, 1
Sphere7, 1273.9853, 1
Sphere17, 1174.3682, 1
Sphere13, 2274.3879, 1
Sphere1, 2399.4021, 1
Sphere19, 1111.3472, 1
Sphere18, 2787.1114, 2
Sphere14, 1924.4443, 1
Sphere3, 1686.7752, 1
Sphere5, 4286.5672, 1
Sphere20, 1711.363, 1
Sphere6, 1261.8156, 1
Sphere11, 2612.205, 2
Sphere9, 1011.4487, 1
Sphere8, 1450.0442, 1
Sphere2, 2511.8067, 1
Sphere15, 1136.424, 1
Sphere3, 1186.7311, 1
Sphere19, 986.4303, 1
Sphere16, 1574.5826, 1
Sphere7, 1237.1565, 1
Sphere9, 2499.3663, 2
Sphere18, 1150.1507, 1
Sphere13, 1886.8829, 2
Sphere1, 1774.0568, 1
Sphere6, 6649.8547, 2
Sphere5, 2761.2887, 1
Sphere20, 5288.051, 2
Sphere8, 2062.3613, 1
Sphere17, 1412.7418, 1
Sphere15, 1200.2348, 1
Sphere2, 2199.3636, 1
Sphere12, 2124.3871, 1
Sphere4, 2712.4035, 1
Sphere14, 1498.7302, 1
Sphere11, 2024.3994, 1
Sphere10, 1649.6407, 1
Sphere6, 2287.4009, 2
Sphere4, 5086.9138, 1
Sphere8, 1461.8257, 1
Sphere14, 1849.6451, 1
Sphere17, 2350.6782, 1
Sphere1, 1372.6791, 1
Sphere9, 1175.1453, 1
Sphere11, 1249.2111, 1
Sphere12, 1174.7189, 1
Sphere16, 849.87, 1
Total, 99426.4058, 57
Name, finalTime, numberOfAttempts
