Name, finalTime, numberOfAttempts
Sphere12, 1696.7585, 1
Sphere10, 1674.091, 1
Sphere16, 724.2242, 1
Sphere4, 2037.3559, 3
Sphere7, 875.509, 1
Sphere17, 7235.2432, 7
Sphere13, 4448.7152, 3
Sphere1, 949.8582, 1
Sphere19, 700.0565, 1
Sphere18, 974.3445, 1
Sphere14, 974.2411, 1
Sphere3, 1049.1047, 1
Sphere5, 4961.8441, 3
Sphere20, 987.5071, 1
Sphere6, 6449.7177, 3
Sphere11, 1086.2698, 1
Sphere9, 836.5452, 1
Sphere8, 1324.6024, 1
Sphere2, 724.9351, 1
Sphere15, 1137.0356, 1
Sphere3, 788.2896, 1
Sphere19, 662.7359, 1
Sphere16, 773.0804, 1
Sphere7, 624.6036, 1
Sphere9, 949.8026, 2
Sphere18, 662.3236, 1
Sphere13, 6324.6517, 4
Sphere1, 849.789, 1
Sphere6, 5100.2908, 3
Sphere5, 25112.4695, 13
Sphere20, 923.5994, 1
Sphere8, 2787.6535, 2
Sphere17, 861.7295, 1
Sphere15, 1099.7907, 1
Sphere2, 2099.6296, 1
Sphere12, 699.6472, 1
Sphere4, 3899.1648, 1
Sphere14, 6549.2019, 5
Sphere11, 2149.3833, 3
Sphere10, 862.5043, 1
Sphere6, 3824.9781, 2
Sphere4, 8811.5202, 5
Sphere8, 3624.3352, 2
Sphere14, 1749.2651, 1
Sphere17, 849.7615, 1
Sphere1, 1161.8935, 1
Sphere9, 712.3023, 1
Sphere11, 799.4883, 1
Sphere12, 786.9908, 1
Sphere16, 736.4951, 1
Total, 127712.1945, 95
