Name, finalTime, numberOfAttempts
Sphere19, 1423.8891, 1
Sphere16, 2224.8797, 1
Sphere13, 2224.1572, 1
Sphere15, 1661.8757, 1
Sphere11, 1699.4928, 1
Sphere12, 1637.4003, 1
Sphere7, 3726.1362, 2
Sphere18, 1636.0508, 1
Sphere10, 1274.7142, 1
Sphere8, 1924.2936, 1
Sphere3, 1486.4652, 1
Sphere9, 2061.9992, 1
Sphere1, 1412.8316, 1
Sphere2, 1586.8516, 1
Sphere4, 1237.1357, 1
Sphere6, 1212.7931, 1
Sphere17, 1524.117, 1
Sphere20, 1399.3767, 1
Sphere14, 1374.021, 1
Sphere5, 1223.9735, 1
Sphere17, 1398.9161, 1
Sphere2, 1161.4577, 1
Sphere4, 1486.9603, 1
Sphere11, 1123.7616, 1
Sphere18, 2012.1963, 1
Sphere1, 1148.2413, 1
Sphere13, 1349.2916, 1
Sphere14, 1736.3533, 1
Sphere7, 1422.3735, 1
Sphere15, 1387.3085, 1
Sphere12, 1711.5758, 1
Sphere9, 1624.1068, 1
Sphere6, 1774.1496, 1
Sphere10, 1561.21, 1
Sphere19, 1237.6378, 1
Sphere8, 1161.8248, 1
Sphere3, 1749.4979, 1
Sphere20, 1437.1444, 1
Sphere16, 1835.996, 1
Sphere5, 1111.7554, 1
Sphere18, 1186.8428, 1
Sphere13, 1225.4342, 1
Sphere9, 1224.8503, 1
Sphere1, 2312.7479, 2
Sphere7, 1187.5396, 1
Sphere15, 1373.9191, 1
Sphere16, 1723.8831, 1
Sphere10, 1499.3931, 1
Sphere14, 1448.4606, 1
Sphere2, 1549.9594, 1
Total, 78151.4725, 52
