Name, finalTime, numberOfAttempts
Sphere18, 3587.325, 1
Sphere3, 2950.2018, 2
Sphere15, 3125.0719, 1
Sphere8, 2087.4538, 1
Sphere7, 4625.218, 3
Sphere4, 3249.969, 1
Sphere2, 2262.6122, 1
Sphere9, 3437.1668, 1
Sphere12, 1648.8889, 1
Sphere10, 6687.3622, 2
Sphere11, 5237.2887, 2
Sphere1, 3673.8954, 1
Sphere20, 1487.1173, 1
Sphere5, 1762.284, 1
Sphere6, 1224.3464, 1
Sphere16, 4912.3714, 1
Sphere17, 2798.738, 2
Sphere13, 1636.9167, 1
Sphere19, 4799.0879, 1
Sphere14, 6074.5026, 1
Sphere12, 1824.3628, 1
Sphere2, 2599.4848, 1
Sphere18, 3323.9989, 1
Sphere11, 1624.1061, 1
Sphere16, 3874.5964, 1
Sphere15, 2774.5904, 1
Sphere7, 3949.1834, 2
Sphere10, 1312.1379, 1
Sphere8, 2987.0788, 1
Sphere6, 1124.0304, 1
Sphere14, 4361.897, 2
Sphere20, 1173.9293, 1
Sphere4, 8324.0386, 2
Sphere3, 1336.9563, 1
Sphere13, 1774.3298, 1
Sphere9, 2587.2783, 1
Sphere5, 1174.3641, 1
Sphere17, 1098.8175, 1
Sphere19, 2737.6355, 1
Sphere1, 1537.034, 1
Sphere2, 2087.675, 1
Sphere10, 3887.3687, 2
Sphere14, 4874.1737, 1
Sphere7, 1623.9811, 1
Sphere15, 2537.9102, 1
Sphere4, 7874.5472, 2
Sphere18, 2899.89, 1
Sphere1, 1874.3776, 2
Sphere12, 1211.2266, 1
Sphere16, 8899.6961, 1
Total, 156566.0066, 62
Name, finalTime, numberOfAttempts
