Name, finalTime, numberOfAttempts
Sphere18, 7311.5649, 4
Sphere3, 1000.0849, 1
Sphere15, 2724.7172, 2
Sphere8, 999.4709, 1
Sphere7, 1199.4972, 1
Sphere4, 2586.3067, 2
Sphere2, 1036.4159, 1
Sphere9, 986.8305, 1
Sphere12, 837.1545, 1
Sphere10, 1124.8573, 1
Sphere11, 1874.5687, 1
Sphere1, 1036.6136, 1
Sphere20, 824.8597, 1
Sphere5, 811.113, 1
Sphere6, 612.3905, 1
Sphere16, 925.2389, 1
Sphere17, 724.2686, 1
Sphere13, 836.5975, 1
Sphere19, 4474.6242, 1
Sphere14, 912.2748, 1
Sphere12, 1637.1349, 1
Sphere2, 2449.6742, 1
Sphere18, 1337.4193, 1
Sphere11, 2348.9698, 2
Sphere16, 1999.3607, 1
Sphere15, 1475.1375, 2
Sphere7, 775.2688, 1
Sphere10, 1987.1176, 1
Sphere8, 1336.5028, 1
Sphere6, 811.2532, 1
Sphere14, 1174.4818, 1
Sphere20, 712.1616, 1
Sphere4, 2161.6936, 1
Sphere3, 836.2489, 1
Sphere13, 949.4928, 1
Sphere9, 761.3787, 1
Sphere5, 749.1288, 1
Sphere17, 737.9578, 1
Sphere19, 4961.7546, 1
Sphere1, 1049.4471, 1
Sphere2, 773.5054, 1
Sphere10, 1599.1366, 2
Sphere14, 1174.4496, 1
Sphere7, 724.732, 1
Sphere15, 1236.3382, 1
Sphere4, 1574.6786, 1
Sphere18, 4187.2857, 2
Sphere1, 1337.2842, 1
Sphere12, 686.5579, 1
Sphere16, 874.2434, 1
Total, 77288.0958, 59
