Name, finalTime, numberOfAttempts
Sphere12, 1974.6142, 1
Sphere11, 2137.5531, 1
Sphere4, 1786.6185, 1
Sphere15, 2061.5979, 2
Sphere8, 7774.5032, 3
Sphere1, 2087.9155, 1
Sphere3, 2824.8326, 1
Sphere14, 3949.2023, 1
Sphere16, 2149.7412, 1
Sphere9, 2023.6489, 1
Sphere17, 3449.8093, 1
Sphere7, 3174.6973, 1
Sphere19, 3048.9942, 1
Sphere6, 2149.3254, 1
Sphere13, 3161.6051, 1
Sphere20, 2150.5215, 1
Sphere2, 2136.8896, 3
Sphere10, 2511.5289, 1
Sphere5, 2886.97, 1
Sphere18, 3749.9251, 2
Sphere10, 1598.5385, 1
Sphere17, 5536.8724, 3
Sphere9, 1899.0054, 1
Sphere4, 1261.3023, 1
Sphere7, 2261.9489, 1
Sphere18, 2374.2086, 1
Sphere3, 1412.0404, 1
Sphere11, 1724.4268, 1
Sphere20, 2250.876, 1
Sphere15, 2185.8039, 1
Sphere12, 1625.0868, 1
Sphere5, 2262.8072, 1
Sphere13, 2262.7326, 1
Sphere14, 2496.8981, 1
Sphere6, 2337.1748, 1
Sphere1, 2124.3467, 1
Sphere19, 2024.8754, 1
Sphere8, 4074.47, 2
Sphere16, 9749.9212, 7
Sphere2, 2737.3344, 1
Sphere1, 1275.4776, 1
Sphere12, 1924.966, 1
Sphere5, 1799.4579, 1
Sphere14, 1449.5537, 1
Sphere9, 1662.103, 1
Sphere10, 2486.8567, 1
Sphere8, 1923.7037, 1
Sphere17, 2049.1611, 1
Sphere7, 2549.4001, 1
Sphere3, 1624.1171, 1
Total, 130165.8608, 65
