Name, finalTime, numberOfAttempts
Sphere19, 1098.5558, 1
Sphere16, 1074.4358, 1
Sphere13, 924.0978, 1
Sphere15, 712.1193, 1
Sphere11, 824.1925, 1
Sphere12, 787.3504, 1
Sphere7, 962.3099, 1
Sphere18, 898.7656, 1
Sphere10, 975.2062, 1
Sphere8, 786.4287, 1
Sphere3, 1462.0653, 2
Sphere9, 949.6581, 1
Sphere1, 786.5443, 1
Sphere2, 823.8516, 1
Sphere4, 711.3219, 1
Sphere6, 674.4217, 1
Sphere17, 961.8146, 1
Sphere20, 699.1759, 1
Sphere14, 662.5801, 1
Sphere5, 685.9865, 1
Sphere17, 837.1116, 1
Sphere2, 650.39, 1
Sphere4, 711.4552, 1
Sphere11, 1211.6138, 2
Sphere18, 848.8362, 1
Sphere1, 812.8648, 1
Sphere13, 835.7479, 1
Sphere14, 774.0105, 1
Sphere7, 699.3306, 1
Sphere15, 661.9286, 1
Sphere12, 886.3214, 1
Sphere9, 736.59, 1
Sphere6, 561.5926, 1
Sphere10, 723.9772, 1
Sphere19, 811.5315, 1
Sphere8, 798.9479, 1
Sphere3, 1361.6157, 2
Sphere20, 749.3523, 1
Sphere16, 636.8669, 1
Sphere5, 525.0347, 1
Sphere18, 562.4962, 1
Sphere13, 1099.4484, 2
Sphere9, 774.6558, 1
Sphere1, 661.9922, 1
Sphere7, 773.9978, 1
Sphere15, 561.7445, 1
Sphere16, 761.6336, 1
Sphere10, 773.5982, 1
Sphere14, 1311.6127, 2
Sphere2, 499.4383, 1
Total, 41113.1913, 55
Sphere2, 873.7271, 1
Total, 41487.4801, 56
