Name, finalTime, numberOfAttempts
Sphere19, 2462.7812, 1
Sphere16, 1049.4083, 1
Sphere13, 3511.7257, 1
Sphere15, 749.1314, 1
Sphere11, 2986.568, 2
Sphere12, 1036.7871, 1
Sphere7, 1024.0636, 1
Sphere18, 786.3051, 1
Sphere10, 873.9044, 1
Sphere8, 812.3372, 1
Sphere3, 774.9067, 1
Sphere9, 1374.2555, 2
Sphere1, 887.3481, 1
Sphere2, 786.3225, 1
Sphere4, 3549.3335, 1
Sphere6, 1073.5161, 1
Sphere17, 1524.7726, 1
Sphere20, 736.9298, 1
Sphere14, 1686.8832, 1
Sphere5, 849.8001, 1
Sphere17, 1599.703, 1
Sphere2, 1460.7562, 1
Sphere4, 1649.6594, 1
Sphere11, 1361.3745, 1
Sphere18, 3311.8799, 1
Sphere1, 1474.3246, 1
Sphere13, 1736.8913, 1
Sphere14, 1625.3511, 1
Sphere7, 799.8367, 1
Sphere15, 750.1525, 1
Sphere12, 1849.9305, 1
Sphere9, 787.1202, 1
Sphere6, 2187.1497, 1
Sphere10, 999.9496, 1
Sphere19, 2187.5638, 1
Sphere8, 1225.1203, 1
Sphere3, 862.3799, 1
Sphere20, 974.2992, 1
Sphere16, 749.9134, 1
Sphere5, 1736.4446, 1
Sphere18, 3313.2474, 1
Sphere13, 3475.3261, 1
Sphere9, 1049.9449, 1
Sphere1, 800.3176, 1
Sphere7, 849.7372, 1
Sphere15, 2073.8405, 1
Sphere16, 2586.5202, 1
Sphere10, 849.7821, 1
Sphere14, 1986.7918, 1
Sphere2, 2636.8018, 1
Total, 77514.9392, 52
