Name, finalTime, numberOfAttempts
Sphere12, 574.5028, 1
Sphere11, 2887.4352, 1
Sphere4, 1725.3793, 1
Sphere15, 5200.3417, 1
Sphere8, 3562.65, 1
Sphere1, 1036.8273, 1
Sphere3, 824.6783, 1
Sphere14, 1260.6024, 2
Sphere16, 1024.4647, 1
Sphere9, 1350.2009, 1
Sphere17, 1511.3358, 1
Sphere7, 1287.3223, 1
Sphere19, 911.9056, 1
Sphere6, 1462.4163, 2
Sphere13, 1073.8474, 1
Sphere20, 1111.5467, 1
Sphere2, 937.2585, 1
Sphere10, 1199.1963, 1
Sphere5, 1786.7397, 1
Sphere18, 1124.3146, 2
Sphere10, 1662.0725, 1
Sphere17, 2162.0979, 1
Sphere9, 1325.1542, 1
Sphere4, 1374.2668, 1
Sphere7, 1161.763, 1
Sphere18, 1111.727, 1
Sphere3, 762.192, 1
Sphere11, 774.1856, 1
Sphere20, 800.319, 1
Sphere15, 750.1708, 1
Sphere12, 1148.0778, 1
Sphere5, 899.6821, 1
Sphere13, 1562.2748, 1
Sphere14, 1349.8243, 1
Sphere6, 1036.9627, 1
Sphere1, 2373.9473, 1
Sphere19, 961.734, 1
Sphere8, 1074.6595, 1
Sphere16, 786.7443, 1
Sphere2, 711.1645, 1
Sphere1, 586.8102, 1
Sphere12, 2449.3672, 2
Sphere5, 925.3487, 1
Sphere14, 774.3255, 1
Sphere9, 1474.3866, 2
Sphere10, 775.3314, 1
Sphere8, 2587.0004, 1
Sphere17, 900.2695, 1
Sphere7, 2762.2999, 3
Sphere3, 4339.0144, 3
Total, 73241.0829, 59
Name, finalTime, numberOfAttempts
