Name, finalTime, numberOfAttempts
1, 4056.6427, 1
2, 1047.3495, 1
3, 1436.2568, 1
4, 1136.9603, 1
5, 999.0934, 1
6, 1112.1645, 1
7, 974.5952, 1
8, 1112.027, 1
9, 1349.2492, 1
10, 699.2822, 1
11, 1486.7657, 1
12, 1211.8931, 1
13, 1261.3841, 1
14, 849.9423, 1
15, 786.5854, 1
16, 1487.232, 1
17, 1122.4978, 1
18, 2888.2148, 3
19, 2661.3698, 1
20, 999.1595, 1
21, 911.3823, 1
22, 2888.0288, 2
23, 1400.2035, 1
24, 1386.6477, 1
25, 1024.1265, 1
26, 738, 1
27, 999.4489, 1
28, 2074.3217, 2
29, 1436.41, 1
30, 774.9291, 1
31, 935.6022, 1
32, 811.1253, 1
33, 1112.1971, 1
34, 774.221, 1
35, 3123.223, 3
36, 936.7602, 1
37, 736.1085, 1
38, 1349.9328, 1
39, 2548.2033, 1
40, 811.4655, 1
41, 737.3696, 1
42, 723.9409, 1
43, 2949.5261, 1
44, 1061.6743, 1
45, 2149.6395, 1
46, 1399.7692, 1
47, 935.688, 1
48, 1199.3477, 1
49, 1024.4804, 1
50, 1836.1792, 1
